HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
16.12.2021,Diyarbakır Selahaddin Eyyubi Devlet Hast.,Diyarbakır,6,"84,18","88,37",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Silvan İlçe Sağlık Müd.,Diyarbakır,4,"81,28","82,74",Güneydoğu Anadolu Bölgesi
16.12.2021,Diyarbakır Çermik İlçe Sağlık Müd.,Diyarbakır,2,"78,92","79,05",Güneydoğu Anadolu Bölgesi
16.12.2021,Hazro İlçe Devlet Hast.,Diyarbakır,1,"80,82","80,82",Güneydoğu Anadolu Bölgesi
16.12.2021,Kocaköy İlçe Devlet Hast.,Diyarbakır,2,"82,19","82,82",Güneydoğu Anadolu Bölgesi
16.12.2021,Silvan Dr.Yusuf Azizoğlu Devlet Hast.,Diyarbakır,1,"84,28","84,28",Güneydoğu Anadolu Bölgesi
16.12.2021,Çüngüş İlçe Devlet Hast.,Diyarbakır,1,"79,24","79,24",Güneydoğu Anadolu Bölgesi
16.12.2021,Akçakoca Devlet Hast.,Düzce,1,"78,97","78,97",Karadeniz Bölgesi
16.12.2021,Düzce Atatürk Devlet Hast.,Düzce,24,"74,64","79,59",Karadeniz Bölgesi
16.12.2021,Yığılca İlçe Devlet Hast.,Düzce,2,"73,28","73,34",Karadeniz Bölgesi
16.12.2021,Edirne Sultan 1. Murat Devlet Hast.,Edirne,18,"75,19","84,11",Marmara Bölgesi
16.12.2021,Keşan Devlet Hast.,Edirne,4,"73,51","75,7",Marmara Bölgesi
16.12.2021,Süloğlu İlçe Devlet Hast.,Edirne,1,"73,28","73,28",Marmara Bölgesi
16.12.2021,Uzunköprü Devlet Hast.,Edirne,6,"73,84","74,65",Marmara Bölgesi
16.12.2021,Baskil İlçe Devlet Hast.,Elazığ,1,"79,67","79,67",Doğu Anadolu Bölgesi
16.12.2021,Elazığ Karakoçan TSM.,Elazığ,1,"79,96","79,96",Doğu Anadolu Bölgesi
16.12.2021,Elazığ Kovancılar İlçe Sağlık Müd.,Elazığ,1,"76,47","76,47",Doğu Anadolu Bölgesi
16.12.2021,Elazığ Palu TSM.,Elazığ,1,"77,03","77,03",Doğu Anadolu Bölgesi
16.12.2021,Karakoçan Devlet Hast.,Elazığ,4,"77,15","82,47",Doğu Anadolu Bölgesi
16.12.2021,Kovancılar Devlet Hast.,Elazığ,2,"77,89","78,08",Doğu Anadolu Bölgesi
16.12.2021,Palu İlçe Devlet Hast.,Elazığ,2,"77,49","78,42",Doğu Anadolu Bölgesi
16.12.2021,Kemah İlçe Devlet Hast.,Erzincan,2,"72,5","72,76",Doğu Anadolu Bölgesi
16.12.2021,Kemaliye İlçe Devlet Hast.,Erzincan,2,"73,68","75,34",Doğu Anadolu Bölgesi
16.12.2021,Refahiye Dr. Fahrettin Uğur İlçe Devlet Hast.,Erzincan,4,"73,39","73,66",Doğu Anadolu Bölgesi
16.12.2021,Tercan İlçe Devlet Hast.,Erzincan,4,"73,03","75,31",Doğu Anadolu Bölgesi
16.12.2021,Çayırlı İlçe Devlet Hast.,Erzincan,1,"73,08","73,08",Doğu Anadolu Bölgesi
16.12.2021,Üzümlü İlçe Devlet Hast.,Erzincan,1,"74,1","74,1",Doğu Anadolu Bölgesi
16.12.2021,İliç İlçe Devlet Hast.,Erzincan,2,"72,48","73,4",Doğu Anadolu Bölgesi
16.12.2021,Aşkale İlçe Devlet Hast.,Erzurum,1,"74,41","74,41",Doğu Anadolu Bölgesi
16.12.2021,Erzurum Bölge EAH.,Erzurum,23,"75,28","85,07",Doğu Anadolu Bölgesi
16.12.2021,Erzurum Mareşal Çakmak Devlet Hast.,Erzurum,2,"84,79","86,05",Doğu Anadolu Bölgesi
16.12.2021,Horasan Devlet Hast.,Erzurum,2,"74,27","75,2",Doğu Anadolu Bölgesi
16.12.2021,Hınıs Şehit Yavuz Yürekseven Devlet Hast.,Erzurum,2,"74,56","80,62",Doğu Anadolu Bölgesi
16.12.2021,Karayazı Türk Eczacıları Birliği İlçe Devlet Hast.,Erzurum,1,"71,8","71,8",Doğu Anadolu Bölgesi
16.12.2021,Karaçoban İlçe Devlet Hast.,Erzurum,2,"72,45","74,18",Doğu Anadolu Bölgesi
16.12.2021,Pasinler İbrahim Hakkı Devlet Hast.,Erzurum,2,"74,62","74,89",Doğu Anadolu Bölgesi
16.12.2021,Tekman Şehit Piyade Çavuş Muhammet Binici Devlet Hast.,Erzurum,2,"74,33","75,13",Doğu Anadolu Bölgesi
16.12.2021,Tortum İlçe Devlet Hast.,Erzurum,2,"73,7","74,64",Doğu Anadolu Bölgesi
16.12.2021,Çat İlçe Devlet Hast.,Erzurum,1,"76,84","76,84",Doğu Anadolu Bölgesi
16.12.2021,Eskişehir Yunus Emre Devlet Hast.,Eskişehir,6,"83,91","87,7",İç Anadolu Bölgesi
16.12.2021,Eskişehir Şehir Hast.,Eskişehir,21,"80,22","90,29",İç Anadolu Bölgesi
16.12.2021,Gaziantep 25 Aralık Devlet Hast.,Gaziantep,8,"85,38","88,27",Güneydoğu Anadolu Bölgesi
16.12.2021,Gaziantep Şehitkamil Devlet Hast.,Gaziantep,37,"76,23","84,22",Güneydoğu Anadolu Bölgesi
16.12.2021,İslahiye Devlet Hast.,Gaziantep,8,"75,63","79,09",Güneydoğu Anadolu Bölgesi
16.12.2021,Alucra İlçe Devlet Hast.,Giresun,8,"72,53","74,27",Karadeniz Bölgesi
16.12.2021,Dereli İlçe Devlet Hast.,Giresun,3,"72,67","73,49",Karadeniz Bölgesi
16.12.2021,Giresun Doğankent TSM.,Giresun,1,"78,59","78,59",Karadeniz Bölgesi
16.12.2021,Giresun Çanakçı TSM.,Giresun,1,"71,66","71,66",Karadeniz Bölgesi
16.12.2021,Görele Op. Dr. Ergun Özdemir Devlet Hast.,Giresun,4,"73,61","77,22",Karadeniz Bölgesi
16.12.2021,Güce İlçe Devlet Hast.,Giresun,1,"72,5","72,5",Karadeniz Bölgesi
16.12.2021,Tirebolu Devlet Hast.,Giresun,4,"73,88","74,96",Karadeniz Bölgesi
16.12.2021,Yağlıdere İlçe Devlet Hast.,Giresun,2,"71,72","72,22",Karadeniz Bölgesi
16.12.2021,Çamoluk İlçe Devlet Hast.,Giresun,2,"73,15","73,22",Karadeniz Bölgesi
16.12.2021,Şebinkarahisar Devlet Hast.,Giresun,10,"73,24","74,92",Karadeniz Bölgesi
16.12.2021,Gümüşhane Devlet Hast.,Gümüşhane,24,"73,6","76,39",Karadeniz Bölgesi
16.12.2021,Kelkit Devlet Hast.,Gümüşhane,17,"73,19","74,45",Karadeniz Bölgesi
16.12.2021,Köse İlçe Devlet Hast.,Gümüşhane,4,"71,79","72,51",Karadeniz Bölgesi
16.12.2021,Kürtün İlçe Devlet Hast.,Gümüşhane,9,"72,5","74,22",Karadeniz Bölgesi
16.12.2021,Şiran Devlet Hast.,Gümüşhane,9,"72,68","73,96",Karadeniz Bölgesi
16.12.2021,Hakkari Devlet Hast.,Hakkari,10,"74,91","82,84",Doğu Anadolu Bölgesi
16.12.2021,Yüksekova Devlet Hast.,Hakkari,10,"75,14","79,57",Doğu Anadolu Bölgesi
16.12.2021,Şemdinli Devlet Hast.,Hakkari,6,"74,77","85,9",Doğu Anadolu Bölgesi
16.12.2021,Altınözü Devlet Hast.,Hatay,2,"78,35","78,53",Akdeniz Bölgesi
16.12.2021,Dörtyol Devlet Hast.,Hatay,9,"77,96","81,95",Akdeniz Bölgesi
16.12.2021,Erzin Devlet Hast.,Hatay,1,"77,8","77,8",Akdeniz Bölgesi
16.12.2021,Hassa Devlet Hast.,Hatay,2,"77,24","79,97",Akdeniz Bölgesi
16.12.2021,Hatay İl Sağlık Müd.,Hatay,2,"87,87","88,27",Akdeniz Bölgesi
16.12.2021,Kumlu İlçe Devlet Hast.,Hatay,1,"76,89","76,89",Akdeniz Bölgesi
16.12.2021,Kırıkhan Devlet Hast.,Hatay,7,"77,69","83,09",Akdeniz Bölgesi
16.12.2021,Reyhanlı Devlet Hast.,Hatay,9,"76,93","77,91",Akdeniz Bölgesi
16.12.2021,Samandağ Devlet Hast.,Hatay,5,"78,95","80,74",Akdeniz Bölgesi
16.12.2021,Yayladağı Devlet Hast.,Hatay,1,"77,76","77,76",Akdeniz Bölgesi
16.12.2021,İskenderun Devlet Hast.,Hatay,16,"78,81","82,4",Akdeniz Bölgesi
16.12.2021,Gelendost İlçe Devlet Hast.,Isparta,1,"79,07","79,07",Akdeniz Bölgesi
16.12.2021,Senirkent İlçe Devlet Hast.,Isparta,1,"76,46","76,46",Akdeniz Bölgesi
16.12.2021,Sütçüler İlçe Devlet Hast.,Isparta,1,"76,35","76,35",Akdeniz Bölgesi
16.12.2021,Uluborlu İlçe Devlet Hast.,Isparta,1,"77,44","77,44",Akdeniz Bölgesi
16.12.2021,Yalvaç Devlet Hast.,Isparta,3,"76,05","76,69",Akdeniz Bölgesi
16.12.2021,Iğdır Aralık TSM.,Iğdır,1,"76,36","76,36",Doğu Anadolu Bölgesi
16.12.2021,Iğdır Devlet Hast.,Iğdır,4,"79,46","83,49",Doğu Anadolu Bölgesi
16.12.2021,Iğdır Karakoyunlu TSM.,Iğdır,1,"74,86","74,86",Doğu Anadolu Bölgesi
16.12.2021,Iğdır Merkez TSM.,Iğdır,2,"78,3","78,36",Doğu Anadolu Bölgesi
16.12.2021,Tuzluca İlçe Devlet Hast.,Iğdır,2,"75,25","78,44",Doğu Anadolu Bölgesi
16.12.2021,Afşin Devlet Hast.,Kahramanmaraş,8,"75,28","77,11",Akdeniz Bölgesi
16.12.2021,Elbistan Devlet Hast.,Kahramanmaraş,18,"75,81","86,01",Akdeniz Bölgesi
16.12.2021,Pazarcık Devlet Hast.,Kahramanmaraş,13,"76,13","86,69",Akdeniz Bölgesi
16.12.2021,Türkoğlu Dr. Kemal Beyazıt Devlet Hast.,Kahramanmaraş,2,"78,98","82,86",Akdeniz Bölgesi
16.12.2021,Karabük EAH.,Karabük,10,"75,93","84,49",Karadeniz Bölgesi
16.12.2021,Ermenek Devlet Hast.,Karaman,2,"74,63","74,76",İç Anadolu Bölgesi
16.12.2021,Karaman Başyayla TSM.,Karaman,1,"73,84","73,84",İç Anadolu Bölgesi
16.12.2021,Karaman EAH.,Karaman,16,"75,64","86,56",İç Anadolu Bölgesi
16.12.2021,Karaman Ermenek TSM.,Karaman,1,"77,02","77,02",İç Anadolu Bölgesi
16.12.2021,Karaman Sarıveliler TSM.,Karaman,1,"74,42","74,42",İç Anadolu Bölgesi
16.12.2021,Kazımkarabekir İlçe Devlet Hast.,Karaman,1,"74,95","74,95",İç Anadolu Bölgesi
16.12.2021,Arpaçay İlçe Devlet Hast.,Kars,6,"72,5","72,89",Doğu Anadolu Bölgesi
16.12.2021,Digor İlçe Devlet Hast.,Kars,6,"72,15","72,86",Doğu Anadolu Bölgesi
16.12.2021,Harakani Devlet Hast.,Kars,22,"73,96","87,99",Doğu Anadolu Bölgesi
16.12.2021,Kars Kağızman İlçe Sağlık Müd.,Kars,1,"79,18","79,18",Doğu Anadolu Bölgesi
16.12.2021,Kars Susuz TSM.,Kars,1,"76,48","76,48",Doğu Anadolu Bölgesi
16.12.2021,Kağızman Devlet Hast.,Kars,2,"74,75","76,11",Doğu Anadolu Bölgesi
16.12.2021,Azdavay İlçe Devlet Hast.,Kastamonu,1,"73,37","73,37",Karadeniz Bölgesi
16.12.2021,Daday İlçe Devlet Hast.,Kastamonu,1,"73,44","73,44",Karadeniz Bölgesi
16.12.2021,Kastamonu Doğanyurt TSM.,Kastamonu,1,"73,5","73,5",Karadeniz Bölgesi
16.12.2021,Kastamonu Hanönü TSM.,Kastamonu,1,"73,4","73,4",Karadeniz Bölgesi
16.12.2021,Kastamonu Şenpazar TSM.,Kastamonu,1,"73,71","73,71",Karadeniz Bölgesi
16.12.2021,İnebolu Devlet Hast.,Kastamonu,2,"73,71","78,05",Karadeniz Bölgesi
16.12.2021,Bünyan Devlet Hast.,Kayseri,6,"76,36","81,2",İç Anadolu Bölgesi
16.12.2021,Develi Hatice-Muammer Kocatürk Devlet Hast.,Kayseri,6,"76,27","81,93",İç Anadolu Bölgesi
16.12.2021,Kayseri Devlet Hast.,Kayseri,3,"81,54","87,14",İç Anadolu Bölgesi
16.12.2021,Kayseri Şehir Hast.,Kayseri,55,"76,83","86,08",İç Anadolu Bölgesi
16.12.2021,Yahyalı Devlet Hast.,Kayseri,6,"75,32","76,17",İç Anadolu Bölgesi
16.12.2021,Yeşilhisar İlçe Devlet Hast.,Kayseri,2,"75,74","75,82",İç Anadolu Bölgesi
16.12.2021,Kilis Devlet Hast.,Kilis,16,"75,65","80,18",Güneydoğu Anadolu Bölgesi
16.12.2021,Darıca Farabi EAH.,Kocaeli,13,"76,21","80,42",Marmara Bölgesi
16.12.2021,Derince EAH.,Kocaeli,31,"75,24","79,76",Marmara Bölgesi
16.12.2021,Dilovası Devlet Hast.,Kocaeli,6,"74,99","76,74",Marmara Bölgesi
16.12.2021,Gebze Fatih Devlet Hast.,Kocaeli,21,"75,57","82,43",Marmara Bölgesi
16.12.2021,Gölcük Necati Çelik Devlet Hast.,Kocaeli,10,"75,46","78,51",Marmara Bölgesi
16.12.2021,Kandıra Ecz. Kazım Dinç Devlet Hast.,Kocaeli,8,"74,16","75,59",Marmara Bölgesi
16.12.2021,Kocaeli Başiskele İlçe Sağlık Müd.,Kocaeli,1,"83,2","83,2",Marmara Bölgesi
16.12.2021,Kocaeli Darıca İlçe Sağlık Müd.,Kocaeli,1,"84,83","84,83",Marmara Bölgesi
16.12.2021,Kocaeli Derince İlçe Sağlık Müd.,Kocaeli,2,"81,18","81,41",Marmara Bölgesi
16.12.2021,Kocaeli Devlet Hast.,Kocaeli,16,"77,36","81,32",Marmara Bölgesi
16.12.2021,Kocaeli Dilovası İlçe Sağlık Müd.,Kocaeli,1,"78,18","78,18",Marmara Bölgesi
16.12.2021,Kocaeli Gebze İlçe Sağlık Müd.,Kocaeli,2,"82,21","82,95",Marmara Bölgesi
