,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
318,Yeşilhisar İlçe Devlet Hast.,Kayseri,3,"75,74","75,82",İç Anadolu Bölgesi
219,Kilis Devlet Hast.,Kilis,92,"75,65","80,18",Güneydoğu Anadolu Bölgesi
238,Kocaeli Çayırova İlçe Sağlık Müd.,Kocaeli,9,"80,42","80,42",Marmara Bölgesi
246,Kocaeli Karamürsel İlçe Sağlık Müd.,Kocaeli,3,"87,37","87,37",Marmara Bölgesi
240,Kocaeli Gebze İlçe Sağlık Müd.,Kocaeli,14,"82,21","82,95",Marmara Bölgesi
241,Kocaeli İzmit Seka Devlet Hast.,Kocaeli,18,"76,2","81,62",Marmara Bölgesi
237,Derince EAH.,Kocaeli,39,"75,24","79,76",Marmara Bölgesi
242,Kocaeli Gölcük İlçe Sağlık Müd.,Kocaeli,3,"80,76","80,76",Marmara Bölgesi
243,Kocaeli Kartepe İlçe Sağlık Müd.,Kocaeli,4,"85,56","85,56",Marmara Bölgesi
244,Kocaeli Devlet Hast.,Kocaeli,22,"77,36","81,32",Marmara Bölgesi
245,Kocaeli Başiskele İlçe Sağlık Müd.,Kocaeli,3,"83,2","83,2",Marmara Bölgesi
239,Kocaeli Körfez İlçe Sağlık Müd.,Kocaeli,9,"80,66","80,66",Marmara Bölgesi
247,Kocaeli İzmit İlçe Sağlık Müd.,Kocaeli,7,"84,11","85,91",Marmara Bölgesi
236,Kocaeli Darıca İlçe Sağlık Müd.,Kocaeli,9,"84,83","84,83",Marmara Bölgesi
229,Kandıra Ecz. Kazım Dinç Devlet Hast.,Kocaeli,11,"74,16","75,59",Marmara Bölgesi
235,Gölcük Necati Çelik Devlet Hast.,Kocaeli,21,"75,46","78,51",Marmara Bölgesi
230,Dilovası Devlet Hast.,Kocaeli,9,"74,99","76,74",Marmara Bölgesi
232,Kocaeli Dilovası İlçe Sağlık Müd.,Kocaeli,7,"78,18","78,18",Marmara Bölgesi
233,Kocaeli Kandıra İlçe Sağlık Müd.,Kocaeli,3,"79,64","79,64",Marmara Bölgesi
234,Darıca Farabi EAH.,Kocaeli,25,"76,21","80,42",Marmara Bölgesi
248,Kocaeli Derince İlçe Sağlık Müd.,Kocaeli,4,"81,18","81,41",Marmara Bölgesi
231,Gebze Fatih Devlet Hast.,Kocaeli,29,"75,57","82,43",Marmara Bölgesi
124,Konya Beyhekim EAH.,Konya,22,"76,64","80,75",İç Anadolu Bölgesi
